,Date,XIC,XFN
149,2001-11-05,0.014326186,0.007518065
150,2001-11-06,0.002185216,0.01117356
151,2001-11-07,0.009777426,-0.007435249
152,2001-11-08,-0.003249082,0
153,2001-11-09,0.014002162,0.007435249
154,2001-11-12,0,-0.003710421
155,2001-11-13,0.014862167,0.014760077
156,2001-11-14,0.006302333,0.009115447
157,2001-11-15,-0.01689579,-0.005459003
158,2001-11-16,0.007427113,-0.009165865
159,2001-11-19,0.014690905,0.016437886
160,2001-11-20,-0.004175715,-0.007272021
161,2001-11-21,-0.011572773,-0.005488967
162,2001-11-22,0.009478939,0
163,2001-11-23,0.00104732,0.001832523
164,2001-11-26,0.010417183,0.019946843
165,2001-11-27,0.006198303,0
166,2001-11-28,-0.019761615,-0.016290398
167,2001-11-29,0.007326062,0.012692716
168,2001-11-30,-0.002087855,-0.003610101
169,2001-12-03,-0.008394412,-0.012739059
170,2001-12-04,0.014644944,0.01454581
171,2001-12-05,0.02157198,0.014337681
172,2001-12-06,0,-0.003565194
173,2001-12-07,0,0.003565194
174,2001-12-10,-0.011241892,0
175,2001-12-11,-0.004119382,-0.012534331
176,2001-12-12,0.007198139,0.014310629
177,2001-12-13,-0.018615195,-0.00712915
178,2001-12-14,-0.003136262,-0.01079158
179,2001-12-17,0.012487461,0.01792073
180,2001-12-18,0.009263996,0.01411052
181,2001-12-19,-0.008230606,-0.005267844
182,2001-12-20,-0.011428773,-0.010618974
183,2001-12-21,0.009360923,-0.007143711
184,2001-12-24,0.009006856,0.003170195
185,2001-12-27,0.006179585,0.016057655
186,2001-12-28,0.009197732,0
187,2001-12-31,-0.002037015,0.001769681
188,2002-01-02,-0.001020066,-0.014236493
189,2002-01-03,0.018200824,0.01388253
190,2002-01-04,0.005994382,0.002118026
191,2002-01-07,0.005957983,0.007030106
192,2002-01-08,-0.013958183,-0.010563849
193,2002-01-09,-0.003016566,0.001769681
194,2002-01-10,-0.008088764,-0.001769681
195,2002-01-11,-0.005089677,-0.005323022
196,2002-01-14,-0.00922574,-0.008936613
197,2002-01-15,-0.00103001,0.003583841
198,2002-01-16,-0.003098257,-0.010791565
199,2002-01-17,0.003098257,0.005409705
200,2002-01-18,-0.003098257,0
201,2002-01-21,-0.002069901,0.001798019
202,2002-01-22,-0.008325016,0.001792823
203,2002-01-23,0.011428689,0.005362202
204,2002-01-24,0.008230379,0.007104611
205,2002-01-25,0.004089856,-0.001771148
206,2002-01-28,-0.00614065,-0.003551874
207,2002-01-29,-0.014478409,-0.012534335
208,2002-01-30,0,-0.005420613
209,2002-01-31,0.013451009,0.005420613
210,2002-02-01,0.008188117,0.00896938
211,2002-02-04,-0.018518883,-0.007169677
212,2002-02-05,-0.009389944,-0.010849832
213,2002-02-06,-0.003569688,-0.007298938
214,2002-02-07,0,0.003656486
215,2002-02-08,0.006500881,0.001823957
216,2002-02-11,0.009569571,0.005448012
217,2002-02-12,-0.01061545,-0.003629517
218,2002-02-13,0.000209148,0
219,2002-02-14,-0.005243611,-0.003642452
220,2002-02-15,-0.003160256,-0.003656486
221,2002-02-18,0.003160256,0.009115272
222,2002-02-19,-0.01269905,-0.005458786
223,2002-02-20,0,-0.009165974
224,2002-02-21,0,-0.009250621
225,2002-02-22,0.001064582,0.003710465
226,2002-02-25,0.013734666,0.021978098
227,2002-02-26,0.009399895,0.003617383
228,2002-02-27,0.011369766,0.01077261
229,2002-02-28,-0.00205769,0.00711683
230,2002-03-01,0.00922574,0.014085
231,2002-03-04,0.02020345,0.020762166
232,2002-03-05,-0.003005032,0
233,2002-03-06,0.00998008,0.005123278
234,2002-03-07,0.003964609,-0.001704577
235,2002-03-08,-0.007944587,-0.003418701
236,2002-03-11,0.000996686,-0.006873343
237,2002-03-12,-0.004992293,-0.005185679
238,2002-03-13,-0.007031513,0
239,2002-03-14,0.004023606,0.005185679
240,2002-03-15,0.005007568,0.005159195
241,2002-03-18,0.004982618,0.001714147
242,2002-03-19,0.000993306,0.008525072
243,2002-03-20,-0.003182304,-0.00681426
244,2002-03-21,-0.007801188,-0.003424959
245,2002-03-22,-0.006041983,-0.005159195
246,2002-03-25,-0.009132959,-0.005185679
247,2002-03-26,0.001697148,0.006177686
248,2002-03-27,0.009355837,0.00345473
249,2002-03-28,0.008064442,0.013698401
250,2002-04-01,0.008000472,-0.002725003
